feature_id	R1_N_1	R1_N_2	R1_N_3	R1_R_1	R1_R_2	R1_R_3	R1_U_1	R1_U_2	R1_U_3	U1_R_1	U1_R_2	U1_R_3	U1_U_1	U1_U_2	U1_U_3	U4_R_1	U4_R_2	U4_R_3	U4_U_1	U4_U_2	U4_U_3	U6_R_1	U6_R_2	U6_R_3	U6_U_1	U6_U_2	U6_U_3
ENSG00000267259.1	0.47779567095469	0.789259155749805	0.202731094232337	2.97441948429174	2.04801743877259	2.34834706373746	0.680253836307569	0.868944062672232	0.827279738994048	7.6856488760311	9.11128709709823	5.9248042982122	2.51000952128765	3.56595482183072	3.40624258814401	5.62519122523128	7.0052444368903	4.59369440704897	0.458333369672618	1.92008454463739	2.22020057984003	1.11746589821371	0.659987535032082	1.37829294574074	0.254703284723163	0.209759381850129	0.272509292539583
ENSG00000266830.1	0.103527523036866	0	0	0.220967820394997	0	0.121512533192017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265060.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729215975862109	0	0	0	0	0	0	0	0
ENSG00000263788.1	0	0	0	0	0	0	0	0	0	0.387485097373831	0	0	0.558656108417227	0	1.33214601171192	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264486.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260777.1	0.0587639778056481	0.0554690279677964	0.149603099142941	0.292658525281921	0.0790228033650929	0.137945149157311	0	0	0.0428408175086945	0	0	0.0438309951710066	0	0	0.0478780547581646	0.0844996583764264	0.412056831349311	0.432330532613571	0	0	0.0992952545343128	0	0	0	0	0.0515965146144507	0
ENSG00000266306.1	0.111574075833625	0	0	0	0.0750195662758134	0.130956949373492	0	0.101457209260654	0	0.158651080812325	0	0	0	0	0	0.0802189678410488	0.284496243914381	0	0	0	0.0942650299812213	0	0	0	0	0	0
ENSG00000264029.1	0	0	0	0	0	0	0	0	0	2.81085500963804	0.51550199380808	0	0	0	0.536862122206305	0	0	0	0	0	1.11340908363065	0	0	0	0	0	0
ENSG00000265480.5	0	0	0	0.109671788134685	0.0518231999057752	0	0.135057403004645	0	0.168570196601805	0	0	0	0	0	0	0.0554149245728434	0.0982644025600727	0.25774782908366	0.177444884634519	0	0.130235770089108	0	0	0	0	0	0
ENSG00000109084.13	117.324664012401	113.797434964651	103.340337742056	59.3051459503961	50.9873671885078	45.0625064114033	81.2967665476471	82.4000408408936	82.1723592448773	25.0543470591006	26.3256028083797	29.2491714116766	41.1194096411316	39.411122888327	37.2604254440428	50.7492582405152	61.2776684813654	53.3763301932487	97.3972006468378	90.8118378728739	107.271864223548	21.767983904084	21.2067997754809	21.7409484212059	36.0232043673289	38.3396455912172	40.6693083750445
ENSG00000109083.13	15.8436570690575	20.5517647496723	20.9709516899621	16.7664611981957	12.8973443062681	14.1809494209626	18.4647786099213	20.2514186022428	17.1805086708683	13.2834021992501	14.7337402828964	15.5336938225384	18.895975901376	19.4664116466729	20.093649556888	14.543472655573	17.5950832401817	19.0272690243893	19.576161039766	17.3755738233638	18.4790714908865	10.7627042044369	9.16304266508883	12.3069858746335	11.0062759095731	11.9863803941517	12.321304568019
ENSG00000109079.9	39.7708074136682	32.4287141918307	30.1012668210221	20.2950619097168	17.262042709473	16.4010362170106	29.3030807171715	26.1272532240934	30.4710244143816	63.1354607358966	66.0770429152423	69.504575130848	115.688788098178	119.132068841912	110.009661258599	37.9869094209668	46.092725893778	44.2406353483992	61.0412836603064	61.9186962910614	72.2315911966263	79.0044915833289	77.4359352815451	78.9755045398953	81.0310894938024	83.3432437412894	80.9236980346113
