"Gene","Sample","Contribution","Scaled.Expression","Supports"
"PRRX1","BBN963_PARENTAL_rep_3",-1.25022583999628,-1.92274075094294,"Luminal"
"SLC27A2","BBN963_MP1_rep_1",-0.00883408538186913,0.0250611640597118,"Luminal"
"SLC27A2","BBN963_MP1_rep_2",-0.0171437240960583,0.0601772725622125,"Luminal"
"SLC27A2","BBN963_MP1_rep_3",0.0140201287264066,-0.071519576688402,"Basal"
"SLC27A2","UPPL1541_PARENTAL_rep_1",-0.00549591738937091,0.0109542367363882,"Luminal"
"SLC27A2","UPPL1541_PARENTAL_rep_2",-0.38664392891406,1.62166625305531,"Luminal"
"SLC27A2","UPPL1541_PARENTAL_rep_3",-0.274665984474053,1.148453183018,"Luminal"
"SLC27A2","UPPL1541_MP1_rep_1",-0.106737152766218,0.438794523023431,"Luminal"
"SLC27A2","UPPL1541_MP1_rep_2",-0.137794605907729,0.570041732660397,"Luminal"
"SLC27A2","UPPL1541_MP1_rep_3",-0.264473145858027,1.10537876798024,"Luminal"
"SLC27A2","BBN963_PARENTAL_rep_1",0.040796828379945,-0.184676540873491,"Basal"
"SLC27A2","BBN963_PARENTAL_rep_2",-0.277869143317976,1.16198956857974,"Luminal"
"SLC27A2","BBN963_PARENTAL_rep_3",0.0648120839979812,-0.286163783701296,"Basal"
"HMGCS2","BBN963_MP1_rep_1",0.0508703346730986,0.0250611640597118,"Basal"
"HMGCS2","BBN963_MP1_rep_2",0.0404723927192882,0.0601772725622125,"Basal"
"HMGCS2","BBN963_MP1_rep_3",0.0794680631509961,-0.071519576688402,"Basal"
"HMGCS2","UPPL1541_PARENTAL_rep_1",0.0550474208512011,0.0109542367363882,"Basal"
"HMGCS2","UPPL1541_PARENTAL_rep_2",0.0510938851576535,0.0243061855162377,"Basal"
"HMGCS2","UPPL1541_PARENTAL_rep_3",0.0647421095696042,-0.0217868328373514,"Basal"
"HMGCS2","UPPL1541_MP1_rep_1",-0.0716368460571757,0.438794523023431,"Luminal"
"HMGCS2","UPPL1541_MP1_rep_2",-0.110499377402515,0.570041732660397,"Luminal"
"HMGCS2","UPPL1541_MP1_rep_3",-0.0527076721920559,0.374866591297802,"Luminal"
