	WYK3299	WYK3300	WYK3301	WYK3302	WYK3305	WYK3307	WYK3308	WYK3311	WYK3313	WYK3314	WYK3320	WYK3325	WYK3329	WYK3331	WYK3333	WYK3336	WYK3338	WYK3339	WYK3340	WYK3341	WYK3343	WYK3346	WYK3347	WYK3349	WYK3350	WYK3352	WYK3354	WYK3355	WYK3356	WYK3357	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385
SPINK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX2	0.0804694999999995	-1.2121915	0.440991500000001	0.121603500000001	1.0266805	3.0967525	2.1813325	-0.5853565	-0.9955715	-1.7770755	-1.8215335	-0.8720705	0.520369499999999	3.8849175	-0.9553985	-1.9954585	0.874328500000001	0.9299465	1.0285665	-0.4879065	1.4502675	1.0137505	-0.1102605	1.1132325	-0.7318705	-0.3316525	-0.2408345	1.2648705	1.1054745	-0.0681744999999996	-1.8129525	-0.2219865	-2.4445505	-0.4090035	-0.00606349999999978	-0.3949625	1.0118115	0.0173085000000004	0.1199595	-0.4803975	0.6354235	-0.2913255	-3.3838865	0.6822015	1.6320465	2.3506955	0.00606349999999978	0.785287500000001	1.1969225	-2.3452965	-0.4421235	-0.0546994999999999
TMPRSS2	3.1567585	-0.1213255	-4.2037635	0.0476044999999994	-2.6659485	1.9038275	-0.804318643	-3.2474005	-4.5170065	-1.5844555	0.475529	-3.3788345	-0.0476045000000003	2.4543695	0.2397733	-2.7387255	2.0504475	2.7675245	2.0914175	-3.2252365	-0.9279805	-4.2072575	-1.7504425	3.4243665	0.6618795	0.972650499999999	-1.667038167	3.1092135	1.9922125	0.3666455	-2.3636295	-3.3137065	-4.2992255	-1.4563365	1.2776635	3.4231935	2.6494245	-0.3228055	2.0008375	-2.2419755	-0.182201500000001	-1.0380305	0.7039405	0.3820115	1.8871055	2.6799905	-0.8690875	1.2530725	-0.2602145	-2.3043175	0.5300405	0.9646055
UPK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPFIBP2	1.306048	-5.092603	-0.488028	-0.178475000000001	-1.106711	1.343623	1.571697	0.819636000000001	-1.168568	-0.229544000000001	-1.197864	0.0595510000000008	-0.455197999999999	0.285689	-0.920894	-1.390346	0.573031	0.432117	0.0371249999999996	-1.03664	-1.057156	-0.592737	-0.392007	0.484285	-1.354702	0.680752999999999	-0.722294	2.209081	0.0577190000000005	-1.594947	-0.992922999999999	0.188041999999999	0.0737839999999998	0.102904000000001	0.231602000000001	0.598086	1.298645	-0.223964	0.855688000000001	-0.529864999999999	0.355976999999999	-0.653708999999999	-0.818248	0.521319	1.899917	1.395848	-1.341099	1.109255	-0.965769999999999	-1.401673	0.00325400000000009	-0.00325400000000009
SEMA5A	-2.3070695	-4.4622255	-0.587194499999999	0.6223405	-0.8801465	1.4616825	0.1648385	-2.3435385	1.9105555	-2.2924015	0.3807385	-0.0765945000000006	1.0192405	1.5280105	1.2227665	0.3751415	1.7128805	1.2167885	-1.9820035	-1.2325675	-1.6090845	-0.5058925	0.164222500000001	0.456946500000001	-1.5259995	-0.881517499999999	-1.2902485	2.3201345	1.1377455	0.482450500000001	-2.0020925	-0.7330085	1.1635895	-1.1975595	-0.0153084999999997	1.3142325	1.3178175	-2.2263015	-0.857117499999999	-0.9714405	0.326724500000001	-0.0950705000000003	-2.2840885	0.9326065	0.326821499999999	1.4359985	-2.7863885	0.7602625	0.0153084999999997	-2.3531555	-1.4027985	1.1494705
ADIRF	1.618965	-2.284809	-1.595781	-0.753581	0.171740999999999	1.765657	2.228568	-0.343951000000001	-3.186559	-2.396419	-0.0348459999999999	0.828035	1.337564	3.209104	-1.752751	-2.065059	1.207387	0.118288999999999	1.283685	-1.745759	0.349920999999998	0.113928999999999	-0.644335000000002	0.741161999999999	-1.58871	-0.245652000000002	-1.303179	2.1372	1.139088	-2.413781	-3.332627	-1.192788	2.32245	0.682694	1.589991	0.0421519999999997	0.345555999999998	-2.727611	1.209959	-0.49554	-0.240243000000001	-1.055528	-1.628658	0.00160099999999908	1.483442	1.41059	-0.543749	0.065586999999999	-0.00160100000000085	-2.098309	0.200502999999999	-0.775445000000001
SLC27A2	0.253939	-2.699175	-0.896756000000001	0.099264571	-3.417815	0.632575999999999	0.628924	2.197122	-2.268893	2.001024	2.030404	0.322461	2.081075	1.033466	1.332741	2.234129	1.724993	0.592741999999999	-1.595923	-2.36568	-0.850190875	-0.134708000000001	-1.106392	1.085593	-2.650707	-0.0297689999999999	1.579227	1.562255	0.0297689999999999	-0.885306000000001	-4.437422	-1.135979	0.933779	-2.278599	1.041876	1.912453	-0.487647	-0.560111	1.039595	-4.372342	-1.720673	-1.946024	-1.44613	-1.05185	0.0694249999999998	1.139691	-0.210292333	0.670476	-1.63268	-1.553694	-0.212185000000001	1.903152
GLIPR1	-2.763277	-0.518578000000002	-0.383365000000001	0.720877999999999	0.310446999999998	-0.474150000000002	-2.513097	0.102438999999999	0.713525999999998	-1.058983	-2.301265	0.257679999999999	-0.937685000000001	-2.440686111	0.426534999999999	0.794426	0.623257999999998	0.532876999999999	-1.327275	0.0543919999999982	-4.380262	-0.492424000000002	-0.00600700000000032	0.850247999999999	0.614110999999999	0.304939999999998	-2.422345	-0.555963000000001	0.192440999999999	-1.445515	0.311067	-0.170254000000002	-2.62650975	-2.388263667	0.424337	-0.974549000000001	-1.796453	-1.592057	0.378310999999998	0.067658999999999	0.685196999999999	0.217056999999999	0.00600699999999854	0.667169	-0.352337	0.208423999999999	-0.219465000000001	0.0957369999999997	-0.492144000000001	0.0199799999999986	-1.798271	0.484594
UPK1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
